# datetime=2025-12-06T16:05:31Z
# run_id=3595fbc3fd42458d91f51b7c93d63f21
# seed=0
# label=seed0
# map_path=
# pixels=300
# size_w=1024
# size_h=512
# seed=0
# sim_version=0.4.3
# biome_model=v2
# climate_model=perlin_multiscale
tick,time,year,population,avg_energy,var_energy,trait_diversity,avg_traits_per_cell,mean_info_order,global_o2,global_co2,seed,run_id
20,10.498784303665161,1,300,0.9801221489906311,0.008219313807785511,1,0.0,0.10000362247228622,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
80,12.193004608154297,2,300,0.9768207669258118,0.011031673289835453,1,0.0,0.10200957208871841,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
500,24.171881914138794,3,300,0.9535614252090454,0.0433499701321125,1,0.0,0.12626643478870392,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
940,36.39795994758606,4,298,0.9366975426673889,0.09223414212465286,1,0.0,0.15830793976783752,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
1380,48.32779622077942,5,291,0.9425170421600342,0.1369166076183319,1,0.0,0.19555653631687164,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
1460,63.03021311759949,6,283,0.9556990265846252,0.20910607278347015,1,0.0,0.24525544047355652,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
1780,72.24889016151428,7,280,0.9594523906707764,0.26869630813598633,1,0.0,0.2758680582046509,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
2180,84.31690669059753,8,273,0.9779757857322693,0.35187840461730957,1,0.0,0.32110536098480225,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
2600,96.35904121398926,9,260,1.0271775722503662,0.42819297313690186,1,0.0,0.3777269124984741,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
2740,113.00167202949524,10,245,1.1007471084594727,0.5510849356651306,1,0.0,0.46179085969924927,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
3020,120.26464676856995,11,238,1.1406753063201904,0.6062501668930054,1,0.0,0.5025466680526733,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
3480,132.11758852005005,12,230,1.196825385093689,0.7101501226425171,1,0.0,0.5664994716644287,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
3980,144.41252517700195,13,227,1.2325248718261719,0.8444049954414368,1,0.0,0.6233262419700623,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
4220,170.60084104537964,15,212,1.3726717233657837,1.1450270414352417,1,0.0,0.7824721336364746,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
4420,180.6799671649933,16,206,1.435040831565857,1.2621454000473022,1,0.0,0.8492338061332703,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
4660,192.4135603904724,17,198,1.523087978363037,1.3961819410324097,1,0.0,0.9372546076774597,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
4840,214.35039925575256,18,195,1.6044737100601196,1.7206825017929077,1,0.0,1.0540432929992676,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
4880,216.27193307876587,19,195,1.6100338697433472,1.7537838220596313,1,0.0,1.0633305311203003,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
5140,228.62264204025269,20,192,1.6716537475585938,1.9595426321029663,1,0.0,1.1404438018798828,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
5380,240.11044669151306,21,188,1.7426851987838745,2.1558828353881836,1,0.0,1.2223631143569946,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
5600,263.64244055747986,22,177,1.9328277111053467,2.560429334640503,1,0.0,1.4234508275985718,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
5620,264.5851275920868,23,177,1.9360991716384888,2.5799436569213867,1,0.0,1.4283885955810547,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
5860,276.16134333610535,24,175,1.99897038936615,2.811476469039917,1,0.0,1.5063340663909912,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
6040,288.26293563842773,25,173,2.0652244091033936,3.065333127975464,1,0.0,1.589673399925232,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
6220,316.56178092956543,27,168,2.2336318492889404,3.6946499347686768,1,0.0,1.7964391708374023,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
6360,324.47279119491577,28,168,2.263441801071167,3.8879430294036865,1,0.0,1.8404045104980469,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
6820,336.3327069282532,29,165,2.3499186038970947,4.161056041717529,1,0.0,1.9406198263168335,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
7320,348.06341791152954,30,165,2.3945045471191406,4.462870121002197,1,0.0,2.0063629150390625,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
7440,363.463440656662,31,164,2.4663357734680176,4.864567756652832,1,0.0,2.1038410663604736,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
7880,372.3177101612091,32,163,2.5151119232177734,5.0965189933776855,1,0.0,2.166560411453247,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
8480,384.37923431396484,33,162,2.57629132270813,5.421666145324707,1,0.0,2.2453601360321045,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
9080,396.21618247032166,34,158,2.6874029636383057,5.7188873291015625,1,0.0,2.369241952896118,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
9300,413.44933438301086,35,154,2.824181079864502,6.158344268798828,1,0.0,2.5287506580352783,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
9560,420.10696601867676,36,154,2.8498775959014893,6.350800514221191,1,0.0,2.566481113433838,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
10180,432.2535855770111,37,152,2.934539794921875,6.681045055389404,1,0.0,2.6694934368133545,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
10620,444.26674795150757,38,151,3.0002567768096924,7.023366451263428,1,0.0,2.755474090576172,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
10980,461.7286021709442,39,146,3.171610116958618,7.476954460144043,1,0.0,2.9477450847625732,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
11360,468.0631904602051,40,146,3.1965746879577637,7.667417049407959,1,0.0,2.984267473220825,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
12080,480.0798714160919,41,146,3.243178606033325,8.031792640686035,1,0.0,3.0529563426971436,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
12800,492.0950791835785,42,146,3.2886314392089844,8.400306701660156,1,0.0,3.120687484741211,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
13300,513.4796664714813,43,145,3.3891921043395996,9.03836727142334,1,0.0,3.2605042457580566,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
13460,516.2041928768158,44,144,3.422755241394043,9.10688304901123,1,0.0,3.2983596324920654,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
14160,528.0958445072174,45,144,3.466071128845215,9.483293533325195,1,0.0,3.3642995357513428,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
14860,540.0126435756683,46,143,3.533186435699463,9.8454008102417,1,0.0,3.453606128692627,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
15480,562.2819809913635,47,141,3.6618566513061523,10.525771141052246,1,0.0,3.62007737159729,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
15580,564.0531392097473,48,141,3.6680335998535156,10.582721710205078,1,0.0,3.6296846866607666,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
16300,576.0964233875275,49,139,3.7626988887786865,10.92516803741455,1,0.0,3.744612216949463,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
17000,588.3182549476624,50,139,3.804460048675537,11.318807601928711,1,0.0,3.8102192878723145,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
17700,600.0978384017944,51,139,3.843864679336548,11.700667381286621,1,0.0,3.872779130935669,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
17720,612.6828527450562,52,138,3.9123783111572266,12.08510971069336,1,0.0,3.962981700897217,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
18400,624.3301374912262,53,138,3.9504234790802,12.465498924255371,1,0.0,4.024130821228027,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
18940,636.3541014194489,54,138,3.9889817237854004,12.860457420349121,1,0.0,4.086720943450928,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
19220,648.6582353115082,55,138,4.027621269226074,13.267682075500488,1,0.0,4.150111198425293,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
19260,666.5821537971497,56,136,4.142138481140137,13.815088272094727,1,0.0,4.300361633300781,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
19520,672.234726190567,57,135,4.1904377937316895,13.978981971740723,1,0.0,4.361109256744385,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
20080,684.1539499759674,58,135,4.2272748947143555,14.37968921661377,1,0.0,4.422473430633545,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
20620,696.033139705658,59,134,4.29550313949585,14.756722450256348,1,0.0,4.516507625579834,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
20840,715.1495203971863,60,132,4.420063495635986,15.329717636108398,1,0.0,4.679348945617676,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
21100,720.2384893894196,61,132,4.435819149017334,15.505772590637207,1,0.0,4.70581579208374,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
21640,732.2166845798492,62,130,4.54193639755249,15.851025581359863,1,0.0,4.834609508514404,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
22220,744.319509267807,63,129,4.615801811218262,16.234798431396484,1,0.0,4.9355292320251465,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
22540,766.9593091011047,64,129,4.687319755554199,17.044145584106445,1,0.0,5.055544853210449,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
22600,768.5702707767487,65,129,4.692319393157959,17.101781845092773,1,0.0,5.064029216766357,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
23000,780.5942509174347,66,126,4.842357635498047,17.406042098999023,1,0.0,5.236844062805176,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
23500,792.4787151813507,67,126,4.880457878112793,17.835834503173828,1,0.0,5.300849437713623,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
23880,816.2238938808441,69,125,4.9983954429626465,18.684675216674805,1,0.0,5.472790241241455,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
24520,828.1607558727264,70,124,5.078335285186768,19.088260650634766,1,0.0,5.583309650421143,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
25100,840.234096288681,71,124,5.118749618530273,19.555828094482422,1,0.0,5.650883674621582,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
25560,865.5166440010071,73,124,5.203641891479492,20.574556350708008,1,0.0,5.793087005615234,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
26100,876.3599078655243,74,124,5.240352630615234,21.02280044555664,1,0.0,5.854678630828857,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
26580,888.2656052112579,75,124,5.280988693237305,21.525232315063477,1,0.0,5.922804355621338,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
27260,900.1330542564392,76,124,5.322089195251465,22.036327362060547,1,0.0,5.991481304168701,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
27280,913.9523220062256,77,124,5.369783878326416,22.647382736206055,1,0.0,6.07139778137207,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
27860,924.0834197998047,78,123,5.450369834899902,23.055767059326172,1,0.0,6.170620918273926,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
28580,936.2831165790558,79,122,5.540677070617676,23.564260482788086,1,0.0,6.2873334884643555,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
29260,948.0002269744873,80,122,5.585192680358887,24.119203567504883,1,0.0,6.3596062660217285,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
29400,963.1163516044617,81,121,5.690378189086914,24.82327651977539,1,0.0,6.502385139465332,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
29940,972.1176538467407,82,120,5.773283958435059,25.200777053833008,1,0.0,6.589266777038574,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
30660,984.1338300704956,83,120,5.8215107917785645,25.803857803344727,1,0.0,6.666171073913574,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
31360,996.0842571258545,84,120,5.869921684265137,26.418855667114258,1,0.0,6.743292331695557,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
31620,1015.3626596927643,85,120,5.950741767883301,27.472667694091797,1,0.0,6.870680809020996,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
31720,1020.2721757888794,86,120,5.971549987792969,27.740577697753906,1,0.0,6.903466701507568,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
31980,1032.3386600017548,87,120,6.02325963973999,28.403772354125977,1,0.0,6.984755039215088,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
32420,1044.1925735473633,88,120,6.074782371520996,29.074085235595703,1,0.0,7.065533638000488,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
32760,1065.6217246055603,89,119,6.221468448638916,30.228397369384766,1,0.0,7.272769927978516,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
32880,1068.1083674430847,90,119,6.232787132263184,30.37660789489746,1,0.0,7.290359020233154,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
33460,1080.1069576740265,91,119,6.287693500518799,31.09954261779785,1,0.0,7.3756422996521,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
33980,1092.0355896949768,92,119,6.343015670776367,31.831804275512695,1,0.0,7.461373805999756,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
34340,1112.3854928016663,93,119,6.437110900878906,33.088226318359375,1,0.0,7.607730865478516,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
34560,1116.0533285140991,94,119,6.454503536224365,33.32541275024414,1,0.0,7.634629726409912,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
35280,1128.1728525161743,95,119,6.5125732421875,34.11527633666992,1,0.0,7.72424840927124,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
36000,1140.1699469089508,96,118,6.626326560974121,34.835689544677734,1,0.0,7.862972259521484,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
36600,1163.0740683078766,97,118,6.74122428894043,36.42097473144531,1,0.0,8.038129806518555,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
36660,1164.0703718662262,98,118,6.746143817901611,36.49024200439453,1,0.0,8.045693397521973,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
37380,1176.0858886241913,99,118,6.805726051330566,37.33308410644531,1,0.0,8.137285232543945,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
38100,1188.0870597362518,100,118,6.865342617034912,38.1898078918457,1,0.0,8.229094505310059,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
38820,1200.3031704425812,101,117,6.985630989074707,38.99161148071289,1,0.0,8.352432250976562,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
38840,1213.5035758018494,102,116,7.114465713500977,39.84829330444336,1,0.0,8.525627136230469,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
39440,1224.0368707180023,103,116,7.168245315551758,40.63017654418945,1,0.0,8.60788631439209,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
40060,1236.187031507492,104,116,7.230353355407715,41.54228973388672,1,0.0,8.703057289123535,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
40780,1248.2028262615204,105,116,7.291520118713379,42.45484161376953,1,0.0,8.797146797180176,0.02,0.0004,0,3595fbc3fd42458d91f51b7c93d63f21
