# datetime=2025-12-06T20:02:03Z
# run_id=94bd54701ea64e259abdecf3630f7f32
# seed=0
# label=seed0
# map_path=
# pixels=300
# size_w=1024
# size_h=512
# seed=0
# sim_version=0.4.3
# biome_model=v2
# climate_model=perlin_multiscale
tick,time,year,population,avg_energy,var_energy,trait_diversity,avg_traits_per_cell,mean_info_order,global_o2,global_co2,seed,run_id
20,12.92856740951538,2,300,0.9189743995666504,0.01234790775924921,1,0.0,0.11054787784814835,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
400,24.255809783935547,3,300,0.8482992053031921,0.04326769709587097,1,0.0,0.1418018639087677,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
780,36.031085729599,4,298,0.7802633047103882,0.09211770445108414,1,0.0,0.1796957105398178,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
1200,48.05686593055725,5,287,0.7398296594619751,0.14194996654987335,1,0.0,0.22813530266284943,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
1600,60.251384019851685,6,268,0.7310595512390137,0.19119052588939667,1,0.0,0.2905765473842621,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
2080,72.30710983276367,7,236,0.7825105786323547,0.22241099178791046,1,0.0,0.382962167263031,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
2580,84.11078476905823,8,223,0.7975152134895325,0.27601364254951477,1,0.0,0.4609064757823944,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
3120,96.4440393447876,9,207,0.8331345915794373,0.3364716172218323,1,0.0,0.5598189234733582,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
3300,108.06146859350213,10,191,0.8861699104309082,0.3947826325893402,1,0.0,0.6718810796737671,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
3420,120.64297779227854,11,179,0.9376186728477478,0.4661424458026886,1,0.0,0.7928210496902466,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
3540,132.8798605658012,12,167,1.00413179397583,0.5368067622184753,1,0.0,0.9298164248466492,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
3660,144.50641343429015,13,159,1.0598264932632446,0.6130314469337463,1,0.0,1.0566681623458862,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
3800,157.44636997444468,14,153,1.1116513013839722,0.7116658091545105,1,0.0,1.1901354789733887,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
3920,168.12746118363975,15,144,1.194178819656372,0.7788399457931519,1,0.0,1.3414262533187866,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
4060,180.2657393470672,16,140,1.2467416524887085,0.880871593952179,1,0.0,1.4706987142562866,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
4200,192.42010104339352,17,137,1.294601321220398,0.9946609735488892,1,0.0,1.595685362815857,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
4340,204.56665751407309,18,134,1.346355676651001,1.1147494316101074,1,0.0,1.7242343425750732,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
4480,216.72162639387716,19,133,1.3807835578918457,1.2539633512496948,1,0.0,1.8355720043182373,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
4620,228.8793331869092,20,130,1.4379827976226807,1.3910812139511108,1,0.0,1.972147822380066,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
4760,241.02474109988543,21,128,1.486850380897522,1.5415871143341064,1,0.0,2.1000471115112305,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
4900,253.17460045001462,22,122,1.5895013809204102,1.672452688217163,1,0.0,2.2814230918884277,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
5040,265.3323941609269,23,116,1.7045271396636963,1.7973700761795044,1,0.0,2.4749956130981445,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
5180,277.4765901903156,24,115,1.7537544965744019,1.9655992984771729,1,0.0,2.6028635501861572,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
5320,289.62983188767066,25,111,1.8528469800949097,2.108616828918457,1,0.0,2.778317928314209,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
5440,300.0421307938668,26,109,1.9194409847259521,2.2443900108337402,1,0.0,2.914335012435913,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
5580,312.1981389631819,27,107,1.9937728643417358,2.4111125469207764,1,0.0,3.070300579071045,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
5700,324.78468491885906,28,105,2.0725202560424805,2.586130142211914,1,0.0,3.23305606842041,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
5840,336.9316772206239,29,104,2.1321237087249756,2.774402379989624,1,0.0,3.3742692470550537,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
5980,349.082539851428,30,102,2.2143688201904297,2.9471912384033203,1,0.0,3.5356574058532715,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
6120,361.2297184057934,31,102,2.2540946006774902,3.1620469093322754,1,0.0,3.6563310623168945,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
6260,373.38361943735435,32,99,2.362595319747925,3.321930170059204,1,0.0,3.8503053188323975,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
6400,385.5357920447823,33,99,2.4026050567626953,3.5471436977386475,1,0.0,3.972052574157715,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
6520,396.79115341386205,34,97,2.489349603652954,3.711658477783203,1,0.0,4.134355545043945,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
6660,408.9699055090714,35,94,2.610048770904541,3.8606483936309814,1,0.0,4.335972785949707,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
6800,421.21025382264816,36,92,2.708892822265625,4.0308027267456055,1,0.0,4.5201005935668945,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
6920,432.3661836200863,37,91,2.7768726348876953,4.210515022277832,1,0.0,4.651178359985352,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
7060,444.9932891837416,38,90,2.8511173725128174,4.4181742668151855,1,0.0,4.812946319580078,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
7200,457.234552618429,39,89,2.9246363639831543,4.6179327964782715,1,0.0,4.9557976722717285,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
7320,468.33736193250843,40,89,2.961348533630371,4.837396621704102,1,0.0,5.067478656768799,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
7460,480.48658554042777,41,88,3.0347440242767334,5.034843444824219,1,0.0,5.225395679473877,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
7600,492.72597651563774,42,88,3.0732674598693848,5.283045291900635,1,0.0,5.347076892852783,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
7740,504.89025802546894,43,88,3.1102406978607178,5.533070087432861,1,0.0,5.466902256011963,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
7880,517.031847760134,44,88,3.1456971168518066,5.786630630493164,1,0.0,5.585258960723877,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
8020,529.1824372204574,45,88,3.1796910762786865,6.042809963226318,1,0.0,5.702413558959961,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
8160,541.3350816678067,46,88,3.2125051021575928,6.305761337280273,1,0.0,5.818599224090576,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
8300,553.4866148079727,47,86,3.319392681121826,6.47269868850708,1,0.0,6.015227794647217,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
8440,565.6394318493985,48,86,3.3511927127838135,6.739680290222168,1,0.0,6.131044387817383,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
8560,576.0547468060395,49,85,3.417424201965332,6.9143548011779785,1,0.0,6.267899036407471,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
8700,588.2069790142996,50,85,3.4474992752075195,7.184749603271484,1,0.0,6.382296085357666,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
8840,600.3632231035754,51,85,3.4767136573791504,7.461008548736572,1,0.0,6.496054172515869,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
8980,612.5124938954868,52,84,3.5468685626983643,7.680429935455322,1,0.0,6.633129119873047,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
9120,624.6624823807524,53,83,3.6180858612060547,7.897895336151123,1,0.0,6.775699615478516,0.02,0.0004,0,94bd54701ea64e259abdecf3630f7f32
