# datetime=2025-12-06T17:13:43Z
# run_id=aa1108d00b9e451ebefc48aaf3418017
# seed=0
# label=seed0
# map_path=
# pixels=300
# size_w=1024
# size_h=512
# seed=0
# sim_version=0.4.3
# biome_model=v2
# climate_model=perlin_multiscale
tick,time,year,population,avg_energy,var_energy,trait_diversity,avg_traits_per_cell,mean_info_order,global_o2,global_co2,seed,run_id
20,10.191213369369507,1,300,0.9857523441314697,0.002644062042236328,1,0.0,0.09822408109903336,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
100,12.557954788208008,2,300,0.982560396194458,0.003966316115111113,1,0.0,0.09869503229856491,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
460,24.23843479156494,3,300,0.9666532278060913,0.014608017168939114,1,0.0,0.10725624114274979,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
860,36.39256715774536,4,300,0.9502554535865784,0.033154651522636414,1,0.0,0.1247846707701683,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1240,48.41896194243674,5,300,0.9338154196739197,0.059154994785785675,1,0.0,0.1448139101266861,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1340,62.82871236610225,6,299,0.9177811741828918,0.0971454381942749,1,0.0,0.17128323018550873,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1400,74.6968776515468,7,296,0.9119530916213989,0.13041958212852478,1,0.0,0.1955874264240265,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1460,86.50784740243529,8,293,0.9076515436172485,0.1687438040971756,1,0.0,0.22089281678199768,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1520,98.17958265137355,9,289,0.9081233143806458,0.20998841524124146,1,0.0,0.24776171147823334,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1580,109.8557222234013,10,285,0.9102522134780884,0.2574206590652466,1,0.0,0.275989294052124,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1640,121.40543120322383,11,279,0.9206750988960266,0.3061280846595764,1,0.0,0.3072766959667206,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1700,132.86383844407004,12,273,0.9334457516670227,0.3591521084308624,1,0.0,0.339725136756897,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1760,144.59095099264863,13,265,0.9557337164878845,0.4138101041316986,1,0.0,0.3769640028476715,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1840,159.2292240384075,14,253,0.9992425441741943,0.47959116101264954,1,0.0,0.43071672320365906,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1900,170.0253448444335,15,246,1.0291417837142944,0.5348184108734131,1,0.0,0.47055748105049133,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
1960,180.5195381228703,16,235,1.0816978216171265,0.5807227492332458,1,0.0,0.5211104154586792,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
2040,193.74462144646094,17,224,1.144288420677185,0.6440473198890686,1,0.0,0.5847806930541992,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
2120,206.71866875376912,18,218,1.1882580518722534,0.7204288840293884,1,0.0,0.6395136117935181,0.02,0.0004,0,aa1108d00b9e451ebefc48aaf3418017
