# datetime=2025-12-06T20:54:09Z
# run_id=d60a12c46409455f9b1eeca90a4b5a53
# seed=0
# label=seed0
# map_path=
# pixels=300
# size_w=1024
# size_h=512
# seed=0
# sim_version=0.4.3
# biome_model=v2
# climate_model=perlin_multiscale
tick,time,year,population,avg_energy,var_energy,trait_diversity,avg_traits_per_cell,mean_info_order,global_o2,global_co2,seed,run_id
20,9.609435796737671,1,300,0.9403095245361328,0.00266450853087008,1,0.0,0.10002262145280838,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
120,12.37691068649292,2,300,0.9231342673301697,0.004426527768373489,1,0.0,0.10126439481973648,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
560,24.10720419883728,3,300,0.850380539894104,0.016995690762996674,1,0.0,0.11532671749591827,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
1020,36.2734591960907,4,300,0.7749157547950745,0.0389784574508667,1,0.0,0.13712090253829956,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
1480,48.422287940979004,5,299,0.7020544409751892,0.06850218772888184,1,0.0,0.16205352544784546,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
1920,60.2722954750061,6,291,0.649272620677948,0.09480420500040054,1,0.0,0.1920052170753479,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
2140,73.38129986635158,7,275,0.6111034154891968,0.12373056262731552,1,0.0,0.23394984006881714,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
2220,84.22739197670876,8,253,0.6079450249671936,0.14191852509975433,1,0.0,0.28264155983924866,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
2320,96.68903703207661,9,230,0.6134893298149109,0.16372080147266388,1,0.0,0.3473523259162903,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
2420,108.52174889670096,10,211,0.6234499216079712,0.1880543828010559,1,0.0,0.4167468249797821,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
2540,121.87980592140957,11,191,0.6461694240570068,0.21528726816177368,1,0.0,0.5081688165664673,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
2640,132.45959141574303,12,179,0.6604133248329163,0.24241910874843597,1,0.0,0.5829771161079407,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
2760,144.11381267334048,13,163,0.6988450884819031,0.26720306277275085,1,0.0,0.6895955204963684,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
2900,156.84306988247806,14,156,0.7061289548873901,0.3093467652797699,1,0.0,0.776802122592926,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
3040,169.40488738710098,15,145,0.7395314574241638,0.34781166911125183,1,0.0,0.889037549495697,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
3160,180.15284871430492,16,133,0.7927207946777344,0.3755474090576172,1,0.0,1.0094958543777466,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
3300,192.704824670143,17,129,0.8059757947921753,0.4247583746910095,1,0.0,1.1019076108932495,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
3440,205.4380651801049,18,121,0.850847601890564,0.4683741331100464,1,0.0,1.226294755935669,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
3560,216.19821238124075,19,112,0.9146265983581543,0.49826285243034363,1,0.0,1.3561859130859375,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
3700,228.7473746339209,20,108,0.9469031691551208,0.5480698347091675,1,0.0,1.4670183658599854,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
3840,241.38887995674077,21,106,0.9644085168838501,0.6068745851516724,1,0.0,1.563772201538086,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
3960,252.14630835628373,22,102,1.0028187036514282,0.6527174115180969,1,0.0,1.666089415550232,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
4100,264.7062855400171,23,100,1.0250775814056396,0.7164251804351807,1,0.0,1.7661221027374268,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
4240,277.2565109467164,24,99,1.0387282371520996,0.785552442073822,1,0.0,1.8586161136627197,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
4360,288.00308722405225,25,96,1.0746564865112305,0.8404049873352051,1,0.0,1.9585065841674805,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
4500,300.55375507723716,26,94,1.1027896404266357,0.9111424088478088,1,0.0,2.066871166229248,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
4640,313.105970851895,27,90,1.1583155393600464,0.9756242632865906,1,0.0,2.203195810317993,0.02,0.0004,0,d60a12c46409455f9b1eeca90a4b5a53
